2852920,0.0,"['marital', ' matrimonial', ' married']", married
4746842,0.0,"['comparison', ' compare', ' equivalence', ' comparability']",comparison
4746842,0.0,"['comparison', ' compare', ' equivalence', ' comparability']", compare
4746842,0.0,"['comparison', ' compare', ' equivalence', ' comparability']", equivalence
4746842,0.0,"['comparison', ' compare', ' equivalence', ' comparability']", comparability
793037,0.0,"['convoke', ' convene']",convoke
793037,0.0,"['convoke', ' convene']", convene
7331400,0.0,"['separation', ' breakup', ' detachment']",separation
7331400,0.0,"['separation', ' breakup', ' detachment']", breakup
7331400,0.0,"['separation', ' breakup', ' detachment']", detachment
905399,0.0,['pardon'],pardon
297755,0.0,"['competitive', ' free-enterprise', ' private-enterprise']",competitive
297755,0.0,"['competitive', ' free-enterprise', ' private-enterprise']", free-enterprise
297755,0.0,"['competitive', ' free-enterprise', ' private-enterprise']", private-enterprise
7180183,0.0,"['harmony', ' concord', ' concordance']",harmony
7180183,0.0,"['harmony', ' concord', ' concordance']", concord
7180183,0.0,"['harmony', ' concord', ' concordance']", concordance
1158872,0.0,"['use', ' utilize', ' utilise', ' apply', ' employ']",use
1158872,0.0,"['use', ' utilize', ' utilise', ' apply', ' employ']", utilize
1158872,0.0,"['use', ' utilize', ' utilise', ' apply', ' employ']", utilise
1158872,0.0,"['use', ' utilize', ' utilise', ' apply', ' employ']", apply
1158872,0.0,"['use', ' utilize', ' utilise', ' apply', ' employ']", employ
1875820,0.0,['reciprocate'],reciprocate
13870805,0.0,"['connection', ' connexion', ' link']",connection
13870805,0.0,"['connection', ' connexion', ' link']", connexion
13870805,0.0,"['connection', ' connexion', ' link']", link
13931627,0.0,['membership'],membership
1048912,0.0,"['concealment', ' concealing', ' hiding']",concealment
1048912,0.0,"['concealment', ' concealing', ' hiding']", concealing
1048912,0.0,"['concealment', ' concealing', ' hiding']", hiding
2704928,0.0,"['last', ' endure']",last
2704928,0.0,"['last', ' endure']", endure
3690695,0.0,['lost-and-found'],lost-and-found
579367,0.0,['sequester'],sequester
765410,0.0,['man-to-man'],man-to-man
2752787,0.0,['jihadi'],jihadi
8223802,0.0,['community'],community
908621,0.0,"['patronize', ' patronise', ' patronage', ' support', ' keep going']",patronize
908621,0.0,"['patronize', ' patronise', ' patronage', ' support', ' keep going']", patronise
908621,0.0,"['patronize', ' patronise', ' patronage', ' support', ' keep going']", patronage
908621,0.0,"['patronize', ' patronise', ' patronage', ' support', ' keep going']", support
908621,0.0,"['patronize', ' patronise', ' patronage', ' support', ' keep going']", keep going
4076533,0.0,"['replica', ' replication', ' reproduction']",replica
4076533,0.0,"['replica', ' replication', ' reproduction']", replication
4076533,0.0,"['replica', ' replication', ' reproduction']", reproduction
2031158,0.0,"['separate', ' divide']",separate
2031158,0.0,"['separate', ' divide']", divide
1014990,0.0,"['gather', ' gathering']",gather
1014990,0.0,"['gather', ' gathering']", gathering
